rep,0_6,1_6,destination
0,CS031,D001-N1,1
0,CS031,D001-P1,2
0,CS031,D002-N1,3
0,CS031,D002-P1,4
0,CS031,D003-N1,5
0,CS031,D003-P1,6
0,CS034,D001-N1,7
0,CS034,D001-P1,8
0,CS034,D002-N1,9
0,CS034,D002-P1,10
0,CS034,D003-N1,11
0,CS034,D003-P1,12
1,CS031,D001-N1,13
1,CS031,D001-P1,14
1,CS031,D002-N1,15
1,CS031,D002-P1,16
1,CS031,D003-N1,17
1,CS031,D003-P1,18
1,CS034,D001-N1,19
1,CS034,D001-P1,20
1,CS034,D002-N1,21
1,CS034,D002-P1,22
1,CS034,D003-N1,23
1,CS034,D003-P1,24
2,CS031,D001-N1,25
2,CS031,D001-P1,26
2,CS031,D002-N1,27
2,CS031,D002-P1,28
2,CS031,D003-N1,29
2,CS031,D003-P1,30
2,CS034,D001-N1,31
2,CS034,D001-P1,32
2,CS034,D002-N1,33
2,CS034,D002-P1,34
2,CS034,D003-N1,35
2,CS034,D003-P1,36
3,CS031,D001-N1,37
3,CS031,D001-P1,38
3,CS031,D002-N1,39
3,CS031,D002-P1,40
3,CS031,D003-N1,41
3,CS031,D003-P1,42
3,CS034,D001-N1,43
3,CS034,D001-P1,44
3,CS034,D002-N1,45
3,CS034,D002-P1,46
3,CS034,D003-N1,47
3,CS034,D003-P1,48
