from_plate,from_well,source,volume_ul,plate,volume_well,nrow,ncol,volume_holdover,volume_usable,volume_user_input
ivl_384_flat_v1_0001,1,ABI-131-N1,24.0,ivl_384_flat_v1,90,16,24,40,50,64.0
ivl_384_flat_v1_0001,3,ABI-131-P1,24.0,ivl_384_flat_v1,90,16,24,40,50,64.0
ivl_384_flat_v1_0001,5,D004-N1,24.0,ivl_384_flat_v1,90,16,24,40,50,64.0
ivl_384_flat_v1_0001,7,D004-P1,24.0,ivl_384_flat_v1,90,16,24,40,50,64.0
ivl_384_flat_v1_0001,9,R007-N1,24.0,ivl_384_flat_v1,90,16,24,40,50,64.0
ivl_384_flat_v1_0001,11,R007-P1,24.0,ivl_384_flat_v1,90,16,24,40,50,64.0
ivl_384_flat_v1_0001,17,CS031,24.0,ivl_384_flat_v1,90,16,24,40,50,64.0
ivl_384_flat_v1_0001,19,CS034,24.0,ivl_384_flat_v1,90,16,24,40,50,64.0
ivl_96_dw_v1_0001,1,camera,240.0,ivl_96_dw_v1,1000,8,12,60,940,300.0
